date_time,country,city,state,shape,summary,lat,lng,location
,,,,,((NUFORC Note: Probable meteor. Video. PD)),,,
4/10/16 22:37,USA,Boonsboro,MD,Fireball,Bright light came straight down with no lateral movement stright down. Had ,39.5061332,-77.6524249,POINT(-77.6524249 39.5061332)
,,,,,sparks following it.,,,
4/10/16 22:35,USA,Hilton,NY,Circle,"At 10:35 pm there was a bright yellow light in sky to the S of Hilton, NY. ",43.288116,-77.7933419,POINT(-77.7933419 43.288116)
,,,,,The light was so bright I saw could tell there was somet,,,
4/10/16 22:16,USA,Hanover,MI,Fireball,Black Apache style helicopter chasing and orange ball of light.,39.8063247,-76.9842734,POINT(-76.9842734 39.8063247)
4/10/16 21:26,USA,Wappingers Falls,NY,Light,Bright White Light Hovering Low in the sky.,41.5965635,-73.9112102,POINT(-73.9112102 41.5965635)
4/10/16 20:00,USA,Frederica,DE,Disk,Huge disk shaped object.,39.0090017,-75.4657541,POINT(-75.4657541 39.0090017)
9/12/16 5:25,CANADA,Truro,NS,Oval,Oval/ 1st was oval yellowsish red white glowing and gone. 2nd obj was white ,45.366668,-63.3000059,POINT(-63.3000059 45.366668)
,,,,,light like extremely brighter than a star.,,,
4/10/16 19:30,USA,Brentwood,NH,Circle,Orange glowing orb flame-like no sound very slow 400 feet above stayed at ,42.9786981,-71.0728368,POINT(-71.0728368 42.9786981)
,,,,,elevation for 4 minutes then rose and dimmed and disappeared,,,
4/10/16 18:15,USA,Fairbanks,AK,Unknown,Husband and wife report unusual launching of U. S. military aircraft. a/c ,64.837845,-147.7166749,POINT(-147.7166749 64.837845)
,,,,,headed north at high speed.,,,
4/10/16 4:00,USA,Branson,MO,Light,"Stepped outside on balcony on golf course, saw white light in sky blinking ",36.6440399,-93.2171329,POINT(-93.2171329 36.6440399)
,,,,,and hovering. ((NUFORC Note: Possible star?? PD)),,,
4/10/16 0:25,USA,Carrboro,NC,Sphere,"While driving down 54 at midnight I witnessed a low-flying, fast-moving ",35.9101438,-79.0752894,POINT(-79.0752894 35.9101438)
,,,,,spherical green light source.,,,
3/10/16 20:30,USA,North Vernon,IN,Other,"Plane like with two white lights and one red. 2 hours of same route in sky, ",39.006165,-85.6235795,POINT(-85.6235795 39.006165)
,,,,,varying speeds,,,
3/10/16 20:00,USA,Laurel,DE,Formation,red lights over Laurel.,38.5565041,-75.571314,POINT(-75.571314 38.5565041)
3/10/16 18:00,USA,Ellsworth,ME,Sphere,"This is further info, correcting a previous report. (1) Object sighted was ",44.543505,-68.4201049,POINT(-68.4201049 44.543505)
,,,,,"spherical, shiny, with downward ""jet trails"" which",,,
3/10/16 18:00,USA,Ellsworth,ME,Triangle,Pair of linked triangles with light columns extending straight downward a ,44.543505,-68.4201049,POINT(-68.4201049 44.543505)
,,,,,precise distance; not drifting or bobbing,,,
3/10/16 17:00,USA,Saginaw,MN,Rectangle,Very big object with very bright lights hovering and fliping up side down ,46.8591081,-92.4443565,POINT(-92.4443565 46.8591081)
,,,,,and seeing alot of very small lights on the object,,,
3/10/16 14:25,USA,Coshocton,OH,Other,A weird object in the sky shaped like a T and flew perpendicular rather ,40.2905684,-81.927144,POINT(-81.927144 40.2905684)
,,,,,than parallel to the ground,,,
8/12/16 19:30,USA,Jerseyville,IL,Triangle,Near perfect triangle 3 solid huge lights.,39.1200471,-90.3284478,POINT(-90.3284478 39.1200471)
3/10/16 7:25,USA,Millington,TN,Disk,"((HOAX??)) Driving, noticed glowing craft in sky.",35.3414745,-89.8973083,POINT(-89.8973083 35.3414745)
3/10/16 5:00,USA,Belchertown,MA,Fireball,Very loud disturbance. Three red fireballs low in the sky descending slowly ,42.2722584,-72.39441289,POINT(-72.3944128905602 42.2722584)
,,,,,overhead.,,,
3/10/16 4:00,USA,Adairsville,GA,Circle,"It hovered in one area for more than 30 min., constantly blinking. It ",34.3687021,-84.9341092,POINT(-84.9341092 34.3687021)
,,,,,looked like it had multiple lights. ((NUFORC Note: Star? PD)),,,
3/10/16 3:00,USA,Long Beach,CA,Light,"Hovering flickering lights. ((NUFORC Note: We suspect ""twinkling"" stars. ",33.78538945,-118.1580492,POINT(-118.158049215311 33.78538945)
,,,,,PD)),,,
2/10/16 22:45,USA,Kettering,OH,Unknown,I saw two huge beams of light going from the sky to the ground.,39.6895036,-84.1688273,POINT(-84.1688273 39.6895036)
2/10/16 22:00,USA,Sioux Falls,SD,Disk,Out of no where a blinking light in the shPe of the saucer appears 10 ,43.5499749,-96.7003269,POINT(-96.7003269 43.5499749)
,,,,,seconds later it was gone. ((anonymous report)),,,
2/10/16 21:00,USA,Des Moines,IA,Light,"Point of light that is strobing red, blue and possible green and orange and ",41.5910641,-93.6037148,POINT(-93.6037148 41.5910641)
,,,,,seems in a stable position.,,,
2/10/16 20:45,USA,Murphy,TX,Rectangle,Sitting in backyard with my wife facing the South sky. We both noticed a ,33.0151208,-96.6130477,POINT(-96.6130477 33.0151208)
,,,,,dull bronze colored rectangle heading in a straight line from,,,
2/10/16 19:45,USA,Bristol,TN,Cone,Orange comet shaped fireball changing into just fireball rapidly climbing. ,36.5945034,-82.1885211,POINT(-82.1885211 36.5945034)
,,,,,Sighted near Bristol Motor Speedway.,,,
2/10/16 17:45,CANADA,Regina,SK,Disk,Bright disk-shaped object in the sky,50.4480951,-104.615818,POINT(-104.615818 50.4480951)
8/12/16 17:30,USA,St. Clair,MO,Light,Multiple colerd light on more than one occasion. ((anonymous report)),38.0592942,-93.7945455,POINT(-93.7945455 38.0592942)
2/10/16 11:00,USA,Washington D.C.,MD,Other,I have never reported a sighting before so please forgive missing details. ,38.899265,-77.1546512,POINT(-77.1546512 38.899265)
,,,,,I was walking home Sunday morning around 1100hrs in northwes,,,
2/10/16 10:44,USA,Reno,NV,Unknown,"The unidentified objects seem to have a black bottom, white top in color. ",39.52927,-119.8136743,POINT(-119.8136743 39.52927)
,,,,,There were 15 to 25 traveling upward in a helix pattern,,,
2/10/16 4:50,USA,Watsonville,CA,Unknown,Lights in sky I thought it was a shooting star,36.9092773,-121.752907,POINT(-121.752907 36.9092773)
2/10/16 4:30,USA,Houston,TX,Circle,"Houston, TX, sighting of strange lights and power/signal outage.",29.675779,-95.40215851,POINT(-95.4021585102112 29.675779)
2/10/16 2:00,USA,Woodruff,SC,Light,"Mysterious bright large, bright light the. Disappeared and smaller ones ",34.7395701,-82.0370465,POINT(-82.0370465 34.7395701)
,,,,,appeared and disappeared.,,,
2/10/16 1:30,CANADA,Winnipeg,MB,Light,Strange orange light flew overhead.,49.8833343,-97.166674,POINT(-97.166674 49.8833343)
2/10/16 1:11,USA,Lynnwood,WA,Other,Red green and white pulsating lights hovering and various altitudes.,47.8278656,-122.3053931,POINT(-122.3053931 47.8278656)
2/10/16 0:45,USA,Iowa City,IA,Light,"A group of red lights flying across the sky, rising from the horizon one at ",41.6612561,-91.5299105,POINT(-91.5299105 41.6612561)
,,,,,"a time,increasing in altitude and disappearing out of view.",,,
2/10/16 0:30,USA,Mena,AR,Other,"Large, hexagonal craft accompanied by a much smaller craft tailing it.",34.5862171,-94.2396553,POINT(-94.2396553 34.5862171)
2/10/16 0:14,USA,Waverly,TN,Oval,I just walked out side on this beautiful clear night with stars but no ,36.0829998,-87.7945851,POINT(-87.7945851 36.0829998)
,,,,,moon. Noticed a dancing light in the sky due EAST .. The shape a,,,
8/12/16 17:15,USA,Cromwell,CT,Circle,2 Crafts. ((anonymous report)),41.2861336,-72.3557585,POINT(-72.3557585 41.2861336)
1/10/16 0:00,USA,Santa Rosa Beach,FL,Teardrop,Falling ball of fire out of the clear night sky,30.3960324,-86.2288321,POINT(-86.2288321 30.3960324)
